"Ref","Value","Footprint","MPN","Qty","DNP"
"C1,C2","470u/63V","Capacitor_THT:CP_Radial_D12.5mm_P5.00mm","EEU-FR1J471B","2",""
"C3","100u","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","EEU-FR1E101","1",""
"C4","100u/25V","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","EEU-FR1E101","1",""
"C5,C12,C21,C23","100n","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","","4",""
"C22","220u/25V","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","EEU-FR1E221 (220uF/25V)","1",""
"D4","BZX85C12","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","BZX85C12-TAP","1",""
"D5","SMCJ58A","Diode_SMD:D_SMC","SMCJ58A","1",""
"D6,D8,D10,D11,D14","BAT54S","Package_TO_SOT_SMD:SOT-23","BAT54S,215","5",""
"F1","10A blade","Fuse:Fuseholder_Blade_Mini_Keystone_3568","3568","1",""
"F2","MF-R200 2A","Fuse:Fuse_Bourns_MF-RG400","Bourns MF-R200","1",""
"J1","PI_40PIN_STACK","Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical","Adafruit 1979 (2x20 stacking, extra-tall ~19.5mm) or ESQ-120-39-G-D","1",""
"J2","PI_BREAKOUT","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical","","1","DNP"
"J3","UART0 ttyAMA0","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","JST B4B-XH-A(LF)(SN)","1",""
"J4","UART2 ttyAMA2","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","JST B4B-XH-A(LF)(SN)","1",""
"J5","UART3 ttyAMA3","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","JST B4B-XH-A(LF)(SN)","1",""
"J6","UART4 ttyAMA4","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","JST B4B-XH-A(LF)(SN)","1",""
"J7","UART5 ttyAMA5","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","JST B4B-XH-A(LF)(SN)","1",""
"J8","I2C1 spare","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","JST B4B-XH-A(LF)(SN)","1",""
"J9","FAN 5V","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","","1",""
"J10","DISP PWR 5V","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","JST B2B-XH-A(LF)(SN)","1",""
"J11","AS5600","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","JST B4B-XH-A(LF)(SN)","1",""
"J12","PICO UTIL","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","","1","DNP"
"J13","THRUST DRV","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","","1",""
"J16","LOGIC 12-48V","TerminalBlock_CUI:TerminalBlock_CUI_TB007-508-02_1x02_P5.08mm_Horizontal","","1",""
"J17","12V_LINK","TerminalBlock_CUI:TerminalBlock_CUI_TB007-508-02_1x02_P5.08mm_Horizontal","CUI TB007-508-02","1",""
"J22","SERVO MOTOR","TerminalBlock_CUI:TerminalBlock_CUI_TB007-508-02_1x02_P5.08mm_Horizontal","CUI TB007-508-02","1",""
"LED1","green","LED_THT:LED_D5.0mm","","1",""
"LED5","yellow","LED_THT:LED_D5.0mm","","1",""
"Q1","IRF9540N","Package_TO_SOT_THT:TO-220-3_Vertical","IRF9540NPBF","1",""
"R1,R39,R40","47k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","3",""
"R2","15k/0.5W","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","1",""
"R5,R6","2.2k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","2","DNP"
"R8,R13,R15,R16,R19","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","5",""
"R9,R10","4.7k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","2",""
"R11,R30,R32","100k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","3",""
"R12","6.8k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","1",""
"R18","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","1",""
"R20,R21","100R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","2",""
"R38","20k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","1",""
"U1","Pico 2","vanchor-helm:RaspberryPi_Pico_TH_SWD","Raspberry Pi Pico 2 (SC1632)","1",""
"U5","D36V50F5","vanchor-helm:Pololu_D36V50Fx","Pololu 4091 (D36V50F5)","1",""
"U6","D36V50F12","vanchor-helm:Pololu_D36V50Fx","Pololu 4095 (D36V50F12)","1","DNP"
"U7,U8","BTN8982TA","Package_TO_SOT_SMD:TO-263-7_TabPin4","BTN8982TA","2",""
